kappa,FCR,rg,Prediction
0.638575047,0.28,27.21357822,Alta
0.641634762,0.4,22.30188131,Baja
0.637875021,0.28,21.76997185,Baja
0.645507187,0.45,22.31123924,Baja
0.637596875,0.57,20.61063528,Baja
0.639470935,0.7,19.91189599,Baja
0.64302516,0.72,21.83643818,Baja
0.63883096,0.85,20.42241812,Baja
0.641376108,0.97,20.73082209,Baja
0.642806023,0.5,19.38211679,Baja
0.657448232,0.93,19.65423822,Baja
0.643755734,0.29,23.12265873,Alta
0.65315029,0.55,19.35095072,Baja
0.643763393,0.56,20.58544397,Baja
0.654898673,0.83,19.23627377,Baja
0.658473432,0.56,27.28216171,Baja
0.653307915,0.34,22.49248028,Baja
0.657095313,0.7,18.90676975,Baja
0.665203363,0.88,19.94436741,Baja
0.664148748,0.97,18.35063219,Baja
0.659451693,0.28,21.86737776,Baja
0.652082026,0.87,20.72476387,Baja
0.667171836,0.43,29.03651714,Alta
0.653044581,0.75,18.93413424,Baja
0.669589698,0.28,22.59084702,Baja
0.663157403,0.21,25.09063721,Alta
0.654635161,0.62,19.69091892,Baja
0.662095577,0.96,19.37343359,Baja
0.656696439,0.89,21.0225606,Baja
0.67463699,0.87,20.05985975,Baja
0.662082493,0.45,20.60132504,Baja
0.66005066,0.32,25.43158531,Alta
0.670040309,0.23,24.59470749,Alta
0.668936342,0.88,18.71748209,Baja
0.67258206,0.93,19.77613926,Baja
0.665222883,0.92,19.57135439,Baja
0.665996134,0.23,23.04337263,Alta
0.667228043,0.27,26.74205065,Alta
0.67032817,0.89,18.84615779,Baja
0.681469172,0.65,22.95715332,Baja
0.681218714,0.78,18.89828563,Baja
0.671833664,0.87,18.99571657,Baja
0.671856791,0.29,21.68538332,Baja
0.683071226,0.38,24.22315121,Baja
0.684293687,0.91,19.54982281,Baja
0.690945536,0.61,21.42510891,Baja
0.676668435,0.81,18.66512418,Baja
0.688396722,0.48,25.66077232,Baja
0.690680295,0.42,23.22949648,Baja
0.695394665,0.94,20.96046209,Baja
0.679639071,0.61,21.71530008,Baja
0.693430036,0.23,27.0078969,Alta
0.688989908,0.47,22.23937988,Baja
0.697796673,0.58,19.38454866,Baja
0.689710736,0.25,25.19433498,Alta
0.696455717,0.28,21.96117163,Baja
0.701941252,0.36,20.6013155,Baja
0.69514364,0.45,20.16709328,Baja
0.687208474,0.8,19.87923026,Baja
0.702239096,0.73,20.63391924,Baja
0.697268188,0.84,18.69846582,Baja
0.689206392,0.87,19.08094049,Baja
0.697463751,0.63,19.13443685,Baja
0.691237122,0.73,20.48086643,Baja
0.711149365,0.8,19.5014143,Baja
0.693249464,0.33,22.27488995,Baja
0.709026128,0.49,19.50021982,Baja
0.711198568,0.91,20.89025736,Baja
